Número de Pregunta,Tópico,Enunciado de la Pregunta,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Respuesta Correcta,Justificación Técnica
1,Tópico 2: Conceptos y Lazos,"Un lazo de control térmico regula la temperatura de una reacción química cuyo Set Point está fijado en 343.15 Kelvin. Debido a una perturbación en el suministro de vapor, la variable controlada sufre una caída drástica de 15 grados Celsius. ¿Cuál es el valor actual medido por el sensor expresado en la escala Celsius?",55.0 °C,70.0 °C,85.0 °C,40.0 °C,A,"343.15 K equivale a 70 °C (343.15 - 273.15). Si la temperatura cae 15 °C (que posee la misma magnitud de escala que un cambio en Kelvin), el valor medido actual es 70 °C - 15 °C = 55 °C."
2,Tópico 2: Conceptos y Lazos,"Un canal de dosificación farmacéutica inyecta un volumen neto de 750 mililitros (ml) de un principio activo cada 45 segundos. Si este parámetro se define como la variable manipulada de un lazo mayor, ¿cuál es su equivalencia exacta de caudal en metros cúbicos por hora (m³/h)?",0.060 m³/h,0.016 m³/h,0.600 m³/h,1.666 m³/h,A,"750 ml equivalen a 0.75 litros o 0.00075 m³. Si esto ocurre en 45 segundos, el caudal por segundo es 0.00075 / 45 = 0.00001666 m³/s. Al multiplicar por 3600 segundos que tiene una hora: 0.00001666 * 3600 = 0.06 m³/h."
3,Tópico 3: Magnitudes y Señales,Se requiere instrumentar una planta textil y se debate entre implementar una red de transmisores con salidas analógicas de 4-20 mA o interruptores digitales (On/Off). ¿Qué enunciado define con precisión la diferencia operativa crítica en el procesamiento de estas señales?,"La señal analógica representa de forma continua infinitos estados de la variable dentro de un rango mediante corrientes proporcionales, mientras que la señal digital discretiza la información en estados lógicos binarios definidos.","La señal analógica requiere de un medio de transmisión neumático obligatorio, mientras que la señal digital viaja exclusivamente por pulsos de voltaje con mucha presición.","La señal digital permite conocer el valor numérico exacto de la variable física en cualquier punto del tiempo, mientras que la analógica solo reporta alarmas de exceso.","Las señales analógicas son inmunes al ruido electromagnético de alta frecuencia industrial gracias a su naturaleza binaria, a diferencia de las digitales.",A,"La naturaleza analógica radica en la continuidad matemática del rango (infinitos valores proporcionales como 4-20 mA), mientras que las digitales se limitan a estados lógicos discretos (0 o 1, abierto o cerrado)."
4,Tópico 4: Norma ISA 5.1 (Tagging),"De acuerdo con las tablas de codificación de letras de la norma ISA 5.1, si un instrumento en un plano de procesos posee el Tag 'PDIT-402', ¿cuál es la identificación funcional exacta del dispositivo?",Transmisor e indicador de presión diferencial en el lazo 402,Transmisor indicador de temperatura pasiva en la planta 402,Temporizador digital de impulsos mecánicos de caudal,Indicador de purga directa de fluidos térmicos,A,"La primera letra 'P' es la variable (Presión), modificada por 'D' (Diferencial). Las letras sucesivas representan las funciones: 'I' (Indicador) y 'T' (Transmisor)."
5,Tópico 4: Norma ISA 5.1 (Tagging),"Al revisar la documentación técnica de una caldera de recuperación, se encuentra un elemento final de control etiquetado como 'TV-105'. ¿Qué tipo de dispositivo representa esta nomenclatura bajo la norma ISA 5.1?",Una válvula de control de temperatura,Un transmisor de velocidad variable,Un ventilador térmico industrial,Un indicador visual de tensión,A,"La primera letra 'T' define que la variable física asociada es la Temperatura, y la letra sucesiva 'V' identifica que la función del dispositivo es una Válvula (elemento final de control)."
6,Tópico 5: Escalamiento Analógico,"Un transmisor de nivel analógico calibrado linealmente entrega una señal de salida de 4 a 20 mA para un rango de medición de 0 a 3 metros de altura en un tanque. Si el instrumento está reportando una corriente constante de 10.4 mA, ¿cuál es la altura real de líquido calculada matemáticamente en el tanque?",1.20 metros,1.50 metros,0.95 metros,1.85 metros,A,La ecuación de escalamiento es: Variable = Min_V + ((I_medida - Min_I) / (Max_I - Min_I)) * (Max_V - Min_V). Sustituyendo: Variable = 0 + ((10.4 - 4) / (20 - 4)) * (3 - 0) = (6.4 / 16) * 3 = 0.4 * 3 = 1.20 metros.
7,Tópico 5: Escalamiento Analógico,"Un sensor analógico de presión industrial entrega un rango de voltaje de 0 a 10 VCC correspondiente a un proceso de 0 a 50 bar. Debido a un requisito del PLC, se necesita conocer qué presión corresponde a un valor medido de 7.2 Voltios. Calcule dicho valor.",36.0 bar,35.2 bar,40.0 bar,28.8 bar,A,La relación es directamente proporcional: Presión = (Voltaje medido / Voltaje máximo) * Presión máxima. Presión = (7.2 / 10) * 50 = 0.72 * 50 = 36.0 bar.
8,Tópico 1: Introducción,¿Qué hito de la evolución histórica industrial consolidó el concepto moderno de instrumentación al permitir la centralización de señales analógicas y el nacimiento de las primeras salas de control remotas alejadas mecánicamente de la planta?,La estandarización de las señales neumáticas de 3-15 psi y eléctricas de 4-20 mA a mediados del siglo XX.,El diseño del primer torno mecánico automatizado mediante tarjetas perforadas de madera en 1801.,La introducción comercial de la fibra óptica monomodo para buses de campo en la década de 1920.,La invención de los termopares de platino durante la primera revolución industrial del carbón.,A,"La unificación y estandarización de rangos como 3-15 psi y luego 4-20 mA permitieron interconectar instrumentos de distintas marcas a largas distancias, originando las salas de control modernas."
9,Tópico 2: Conceptos y Lazos,"Un lazo de control encargado del llenado de un depósito de almacenamiento de reactivos falla catastróficamente porque el sensor se desconecta físicamente de la línea de retroalimentación, pero el controlador sigue operando con el último valor estático registrado. ¿Cómo se comporta operativamente el sistema ante esta condición?","El lazo cerrado muta funcionalmente a un comportamiento de lazo abierto, perdiendo la capacidad de corregir desviaciones reales de la planta.",El controlador calcula de forma automática el error real mediante algoritmos predictivos basados en el volumen inicial.,El actuador se posiciona instantáneamente en un estado de oscilación senoidal amortiguada de alta frecuencia.,La planta se auto-estabiliza debido a que el Set Point absorbe el desfase matemático del error remanente.,A,"Al perder el lazo la señal real del sensor en tiempo real (retroalimentación), el controlador pierde el conocimiento del estado real de la variable, actuando de forma ciega (operación en lazo abierto)."
10,Tópico 2: Conceptos y Lazos,Un fluxómetro registra un caudal volumétrico constante de 0.05 m³/s hacia un tanque de mezcla química. Se necesita calcular cuántos contenedores cúbicos pequeños de 250 litros cada uno se pueden llenar de forma exacta si el lazo opera de forma ininterrumpida durante un intervalo de 10 minutos.,120 contenedores,12 contenedores,300 contenedores,60 contenedores,A,"Volumen total en 10 min: Caudal * tiempo = 0.05 m³/s * (10 * 60 s) = 0.05 * 600 = 30 m³. Como 1 m³ = 1000 litros, 30 m³ = 30,000 litros. Dividido por la capacidad del contenedor: 30,000 / 250 = 120 contenedores."
